name,team,character,match_id,kills,deaths,assists,score
Skyler,Blue,Sage,03dbe6dd-d2e7-4f28-b4f8-5324a2381e7c,7,6,1,2080
o x i,Blue,Reyna,03dbe6dd-d2e7-4f28-b4f8-5324a2381e7c,5,5,0,1271
M4tth3w,Blue,Chamber,03dbe6dd-d2e7-4f28-b4f8-5324a2381e7c,2,7,0,757
aes,Red,Fade,03dbe6dd-d2e7-4f28-b4f8-5324a2381e7c,5,3,0,1217
zackxria,Red,Brimstone,03dbe6dd-d2e7-4f28-b4f8-5324a2381e7c,10,5,1,2781
RandomedaXD,Blue,Cypher,03dbe6dd-d2e7-4f28-b4f8-5324a2381e7c,1,6,1,324
spectralGaming,Blue,Phoenix,03dbe6dd-d2e7-4f28-b4f8-5324a2381e7c,0,7,0,74
MrSilas,Red,Deadlock,03dbe6dd-d2e7-4f28-b4f8-5324a2381e7c,1,3,1,347
oree12,Red,Phoenix,03dbe6dd-d2e7-4f28-b4f8-5324a2381e7c,10,2,2,2610
The Nameless,Red,Sage,03dbe6dd-d2e7-4f28-b4f8-5324a2381e7c,5,2,4,1303
Zafir,Blue,Raze,429c77b6-2a9c-4191-b42d-0d5fced21c8f,5,3,3,1189
spectralGaming,Blue,Jett,429c77b6-2a9c-4191-b42d-0d5fced21c8f,1,2,0,156
lokmaneALT,Blue,Phoenix,429c77b6-2a9c-4191-b42d-0d5fced21c8f,1,4,1,218
Hacienda,Red,Deadlock,429c77b6-2a9c-4191-b42d-0d5fced21c8f,6,4,0,1630
Ｊｅｆｆｒ3ｙ Ｅｐｓｔｅｉｎ,Red,KAY/O,429c77b6-2a9c-4191-b42d-0d5fced21c8f,3,4,1,736
lourenço21,Red,Phoenix,429c77b6-2a9c-4191-b42d-0d5fced21c8f,4,5,0,1269
rusbeeeen,Blue,KAY/O,429c77b6-2a9c-4191-b42d-0d5fced21c8f,1,2,1,273
pedroph,Blue,Reyna,429c77b6-2a9c-4191-b42d-0d5fced21c8f,11,3,3,3145
skimow,Red,Omen,429c77b6-2a9c-4191-b42d-0d5fced21c8f,1,4,1,297
valoraneeeee,Red,Sage,429c77b6-2a9c-4191-b42d-0d5fced21c8f,0,4,1,68
